policy_loss,value_loss,total_loss,policy_entropy,iteration,selfplay_games_seen,optimizer_updates,replay_size,positions_seen,update_in_iteration,selfplay_seconds,training_seconds,iteration_seconds
3.5445139408111572,0.9615067839622498,4.506020545959473,3.5798873901367188,1,20,8,308,308,1,54.611451499993564,0.21671319998858962,54.828209800005425
3.5379772186279297,0.9467377662658691,4.484714984893799,3.5791358947753906,1,20,8,308,308,2,54.611451499993564,0.21671319998858962,54.82821740000509
3.5255842208862305,0.9664923548698425,4.492076396942139,3.57796573638916,1,20,8,308,308,3,54.611451499993564,0.21671319998858962,54.828220299998065
3.5044198036193848,1.0114284753799438,4.515848159790039,3.575214147567749,1,20,8,308,308,4,54.611451499993564,0.21671319998858962,54.828222500000265
3.5072414875030518,0.8189499378204346,4.326191425323486,3.5744709968566895,1,20,8,308,308,5,54.611451499993564,0.21671319998858962,54.82822440000018
3.496906042098999,0.9164454340934753,4.413351535797119,3.572748899459839,1,20,8,308,308,6,54.611451499993564,0.21671319998858962,54.828226199999335
3.490581512451172,0.8509037494659424,4.341485023498535,3.57197642326355,1,20,8,308,308,7,54.611451499993564,0.21671319998858962,54.82822799999849
3.4814882278442383,0.9772686958312988,4.458756923675537,3.5679757595062256,1,20,8,308,308,8,54.611451499993564,0.21671319998858962,54.82822969999688
3.465029001235962,0.9906433820724487,4.455672264099121,3.5655722618103027,2,40,16,528,528,1,33.11086479999358,0.20092500001192093,33.311824399992474
3.4446020126342773,0.9020320177078247,4.3466339111328125,3.5627365112304688,2,40,16,528,528,2,33.11086479999358,0.20092500001192093,33.311831099999836
3.4147398471832275,0.8630366325378418,4.277776718139648,3.557481288909912,2,40,16,528,528,3,33.11086479999358,0.20092500001192093,33.31183419999434
3.4024670124053955,0.9093164205551147,4.311783313751221,3.5534045696258545,2,40,16,528,528,4,33.11086479999358,0.20092500001192093,33.31183669999882
3.40266752243042,1.016060709953308,4.418728351593018,3.549689292907715,2,40,16,528,528,5,33.11086479999358,0.20092500001192093,33.31183890000102
3.368703603744507,1.0097546577453613,4.378458023071289,3.5419085025787354,2,40,16,528,528,6,33.11086479999358,0.20092500001192093,33.31184120000398
3.3831229209899902,0.995776355266571,4.378899097442627,3.535634756088257,2,40,16,528,528,7,33.11086479999358,0.20092500001192093,33.31184320000466
3.375166893005371,0.9728960990905762,4.348062992095947,3.5313146114349365,2,40,16,528,528,8,33.11086479999358,0.20092500001192093,33.3118453000061
3.3042712211608887,0.881962239742279,4.1862335205078125,3.520922899246216,3,60,24,792,792,1,40.6102905000007,0.41182859998662025,41.02217050000036
3.3329010009765625,0.8937088251113892,4.226609706878662,3.511707305908203,3,60,24,792,792,2,40.6102905000007,0.41182859998662025,41.02217889999156
3.317256212234497,0.8617868423461914,4.179042816162109,3.5014891624450684,3,60,24,792,792,3,40.6102905000007,0.41182859998662025,41.02218200000061
3.375814437866211,0.8934900760650635,4.269304275512695,3.4940507411956787,3,60,24,792,792,4,40.6102905000007,0.41182859998662025,41.02218400000129
3.3552632331848145,0.9662103652954102,4.321473598480225,3.4840288162231445,3,60,24,792,792,5,40.6102905000007,0.41182859998662025,41.022186000001966
3.3241169452667236,0.8590940237045288,4.183210849761963,3.4734280109405518,3,60,24,792,792,6,40.6102905000007,0.41182859998662025,41.02218790000188
3.265955686569214,0.9078429937362671,4.173798561096191,3.4613075256347656,3,60,24,792,792,7,40.6102905000007,0.41182859998662025,41.022189600000274
3.2815093994140625,0.9172061085700989,4.198715686798096,3.4455108642578125,3,60,24,792,792,8,40.6102905000007,0.41182859998662025,41.02219129999867
